Sensor Number,Latitude,Longitude,Elevation
00141,42.3304,-71.1195,26.0
00185,42.3491,-71.1093,11.0
00192,42.3389,-71.1142,12.0
00193,42.3464,-71.1123,9.0
00199,42.3319,-71.1177,13.0
00201,42.3351,-71.1143,8.0
00202,42.3302,-71.1498,50.0
00208,42.3345,-71.1224,16.0
00211,42.3346,-71.1162,9.0
00215,42.3313,-71.1167,13.0
00217,42.3302,-71.1213,24.0
00220,42.3433,-71.1171,15.0
00221,42.3324,-71.1134,9.0
00224,42.3338,-71.1152,9.0
00225,42.33,-71.1181,24.0
00232,42.3177,-71.1631,61.0
00234,42.3336,-71.1206,18.0
00245,42.3319,-71.116,11.0
00251,42.3288,-71.1157,9.0
00252,42.3353,-71.1112,11.0
00259,42.3317,-71.114,9.0
00290,42.3316,-71.1164,11.0
00291,42.334,-71.1189,18.0
00292,42.3348,-71.1117,11.0
00299,42.3329,-71.113,9.0
00301,42.313,-71.138,75.0
00306,42.3349,-71.1194,18.0
00309,42.3328,-71.1168,13.0
00310,42.344,-71.1152,14.0
00313,42.3146,-71.1634,60.0
00317,42.3311,-71.1179,24.0
00318,42.311,-71.135,87.0
00334,42.3457,-71.1091,12.0
00335,42.3326,-71.1164,11.0
